ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
P0131,policy_dataset,An admissions officer checks application status during business hours in the admissions office,during business hours,,LLM_MOCK,LLM_MOCK,during business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0132,policy_dataset,A student updates an application during office hours from the campus portal,during office hours,from the campus portal,LLM_MOCK,LLM_MOCK,during office hours,from the campus portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0133,policy_dataset,A transcript is read by a student during office hours,during office hours,,LLM_MOCK,LLM_MOCK,during office hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0134,policy_dataset,An application is reviewed by an admissions officer in the admissions office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0135,policy_dataset,A gradebook is updated by an instructor during the semester from the faculty system,during the semester,from the faculty system,LLM_MOCK,LLM_MOCK,during the semester,from the faculty system,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0136,policy_dataset,Course schedules are accessed by a student during daytime on campus,on campus,on campus,LLM_MOCK,LLM_MOCK,on campus,on campus,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0137,policy_dataset,A transcript is updated by a registrar officer during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0138,policy_dataset,A course schedule is read by an instructor in the faculty office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0139,policy_dataset,Grades are assigned by a department chair during the exam period,during the exam period,,LLM_MOCK,LLM_MOCK,during the exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0140,policy_dataset,Application status is checked by an admissions officer in the admissions office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0141,policy_dataset,An application is updated by a student during office hours,during office hours,,LLM_MOCK,LLM_MOCK,during office hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0142,policy_dataset,A nurse updates a health record during her shift A doctor reads a patient record in the hospital,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0143,policy_dataset,A patient views his record at home An agent accesses a health record during visiting hours,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0144,policy_dataset,A nurse adds notes in the ward,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0145,policy_dataset,A doctor reviews records during surgery hours,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0146,policy_dataset,A patient checks records in the patient portal,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0147,policy_dataset,A nurse reads HR items during night shift,during night shift,,LLM_MOCK,LLM_MOCK,during night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0148,policy_dataset,A doctor accesses medical data in the clinic,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0149,policy_dataset,An agent reads patient records during consultation,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0150,policy_dataset,A doctor updates a health record in the clinic,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0151,policy_dataset,A nurse reads patient records during her shift,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0152,policy_dataset,A patient adds notes to a health record at home,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0153,policy_dataset,An agent updates medical data during consultation,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0154,policy_dataset,A doctor adds HR items during surgery hours,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0155,policy_dataset,A nurse views a patient record in the emergency ward,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0156,policy_dataset,A patient reads HR items in the patient portal,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0157,policy_dataset,An agent reads a health record in the hospital,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0158,policy_dataset,A doctor updates medical data in the specialty unit A nurse adds notes during night shift in the ward,during night shift,,LLM_MOCK,LLM_MOCK,during night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0159,policy_dataset,A nurse updates a record during her shift in the oncology ward,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0160,policy_dataset,A doctor reads a patient record during surgery hours in the hospital,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0161,policy_dataset,A patient views his record at home using the patient portal,,using the patient portal,LLM_MOCK,LLM_MOCK,,using the patient portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0162,policy_dataset,An agent accesses records during visiting hours in the hospital,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0163,policy_dataset,A nurse reads HR items at night in the emergency ward,at night,,LLM_MOCK,LLM_MOCK,at night,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0164,policy_dataset,A doctor reviews records during consultation in the clinic,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0165,policy_dataset,A doctor updates a health record during surgery hours in the clinic,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0166,policy_dataset,A nurse reads patient records during her shift in the oncology ward,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0167,policy_dataset,A patient adds notes to a record at home using the patient portal,,using the patient portal,LLM_MOCK,LLM_MOCK,,using the patient portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0168,policy_dataset,An agent updates medical data during visiting hours in the hospital A nurse views a patient record at night from the emergency system,at night,from the emergency system,LLM_MOCK,LLM_MOCK,at night,from the emergency system,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0169,policy_dataset,A health record is updated by a nurse during her shift,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0170,policy_dataset,A patient record is read by a doctor in the hospital,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0171,policy_dataset,A record is viewed by a patient at home using the portal,,using the portal,LLM_MOCK,LLM_MOCK,,using the portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0172,policy_dataset,Health data is accessed by an agent during visiting hours in the hospital,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0173,policy_dataset,A health record is updated by a doctor in the clinic,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0174,policy_dataset,Patient records are read by a nurse during her shift,during her shift,,LLM_MOCK,LLM_MOCK,during her shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0175,policy_dataset,Notes are added by a patient at home using the portal,,using the portal,LLM_MOCK,LLM_MOCK,,using the portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0176,policy_dataset,Medical data is updated by an agent during visiting hours,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0177,policy_dataset,HR items are added by a doctor during surgery hours,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0178,policy_dataset,A project leader updates a task during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0179,policy_dataset,An employee reads a project schedule in the office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0180,policy_dataset,A manager reviews a budget during meetings,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0181,policy_dataset,A contractor accesses a task in the system,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0182,policy_dataset,An auditor checks budgets during audits,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0183,policy_dataset,An accountant updates financial records during work hours,during work hours,,LLM_MOCK,LLM_MOCK,during work hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0184,policy_dataset,A planner reviews schedules in the planning office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0185,policy_dataset,An employee modifies a task during the sprint,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0186,policy_dataset,A project leader assigns tasks during meetings,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0187,policy_dataset,A contractor reads schedules remotely,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0188,policy_dataset,A manager updates a budget during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0189,policy_dataset,A project leader reads a project schedule in the office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0190,policy_dataset,An employee assigns a task during the sprint An auditor reads financial records in the finance department,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0191,policy_dataset,An accountant audits budgets during work hours,during work hours,,LLM_MOCK,LLM_MOCK,during work hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0192,policy_dataset,A contractor updates a task remotely,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0193,policy_dataset,A project leader reviews budgets in the headquarters,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0194,policy_dataset,An employee reads a task in the project office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0195,policy_dataset,A manager assigns tasks during meetings An auditor updates a project schedule during audits,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0196,policy_dataset,A project leader updates a task during working hours in the project office,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0197,policy_dataset,An employee reads schedules during the sprint from the office network,,from the office network,LLM_MOCK,LLM_MOCK,,from the office network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0198,policy_dataset,A manager reviews budgets during meetings in the headquarters,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0199,policy_dataset,An auditor checks budgets during audits in the finance department,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0200,policy_dataset,An accountant updates records during work hours in the accounting office,during work hours,,LLM_MOCK,LLM_MOCK,during work hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0201,policy_dataset,A contractor accesses tasks remotely during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0202,policy_dataset,A manager updates a budget during working hours in the headquarters,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0203,policy_dataset,A project leader reads a schedule during the sprint from the office network,,from the office network,LLM_MOCK,LLM_MOCK,,from the office network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0204,policy_dataset,An employee assigns a task during working hours in the project office,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0205,policy_dataset,An auditor reads financial records during audits in the finance department,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0206,policy_dataset,An accountant audits budgets during work hours in the accounting office,during work hours,,LLM_MOCK,LLM_MOCK,during work hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0207,policy_dataset,A task is updated by a project leader during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0208,policy_dataset,A schedule is read by an employee in the office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0209,policy_dataset,A budget is reviewed by a manager during meetings in the headquarters,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0210,policy_dataset,A task is accessed by a contractor remotely during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0211,policy_dataset,A budget is updated by a manager during working hours,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0212,policy_dataset,A project schedule is read by a project leader in the office,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0213,policy_dataset,A task is assigned by an employee during the sprint,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0214,policy_dataset,Financial records are read by an auditor in the finance department,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0215,policy_dataset,Budgets are audited by an accountant during work hours,during work hours,,LLM_MOCK,LLM_MOCK,during work hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0216,policy_dataset,Certified accountants monitor a lab procedure between 8am and 5pm via the patient portal.,between 8am and 5pm,via the patient portal,LLM_MOCK,LLM_MOCK,between 8am and 5pm,via the patient portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0217,policy_dataset,Doctors monitor a complete certified financial record between 8am and 5pm from the campus network.,8am and 5pm,from the campus network,LLM_MOCK,LLM_MOCK,8am and 5pm,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0218,policy_dataset,Managers submit an active complete personnel file between 8am and 5pm via a secure VPN.,between 8am and 5pm via,via a secure VPN,LLM_MOCK,LLM_MOCK,between 8am and 5pm via,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0219,policy_dataset,Nurses modify a confirmed verified diagnosis between 8am and 5pm.,between 8am and 5pm,,LLM_MOCK,LLM_MOCK,between 8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0220,policy_dataset,Primary health care providers check a certified official transcript between 8am and 5pm.,between 8 am and 5 pm,,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0221,policy_dataset,Senior auditors read a lab procedure between 8am and 5pm in the clinic.,between 8am and 5pm,,LLM_MOCK,LLM_MOCK,between 8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0222,policy_dataset,Trained emergency responders modify a verified diagnosis between 8am and 5pm.,between 8am and 5pm,,LLM_MOCK,LLM_MOCK,between 8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0223,policy_dataset,Academic elected department chairs edit an urgent lab procedure between 8am and 5pm from the office network.,between 8am and 5pm,from the office network,LLM_MOCK,LLM_MOCK,between 8am and 5pm,from the office network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0224,policy_dataset,Administrators add notes to a system log between 8am and 5pm via trusted platforms.,between 8 am and 5 pm,via trusted platforms,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0225,policy_dataset,Admissions officers create a reviewed application between 8am and 5pm at home.,8am and 5pm,,LLM_MOCK,LLM_MOCK,8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0226,policy_dataset,Acting department chairs check a budget between 8am and 5pm.,between 8am and 5pm,,LLM_MOCK,LLM_MOCK,between 8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0227,policy_dataset,Authorized admissions officers download an undergraduate complete transcript between 8am and 5pm using internal devices.,between 8am and 5pm,using internal devices,LLM_MOCK,LLM_MOCK,between 8am and 5pm,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0228,policy_dataset,Elderly patients add notes to an active undergraduate application between 8am and 5pm in the hospital.,between 8 am and 5 pm,,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0229,policy_dataset,Experienced employees check a current budget between 8am and 5pm.,between 8am and 5pm,,LLM_MOCK,LLM_MOCK,between 8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0230,policy_dataset,Enrolled students update a current transaction log between 8am and 5pm via trusted platforms.,between 8 am and 5 pm,via trusted platforms,LLM_MOCK,LLM_MOCK,between 8 am and 5 pm,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0231,policy_dataset,Board-certified assigned doctors update a certified transcript during working hours in the library.,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0232,policy_dataset,Board-certified doctors access a transaction log during working hours remotely.,during working hours,,LLM_MOCK,LLM_MOCK,during working hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0233,policy_dataset,Board-certified doctors retrieve a budget during the semester in the accounting office.,during the semester,,LLM_MOCK,LLM_MOCK,during the semester,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0234,policy_dataset,Certified UAPs modify an expired approved prescription during the sprint in the emergency ward.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0235,policy_dataset,Certified accountants access a financial record during the review period in the neurology ward.,during the review period,,LLM_MOCK,LLM_MOCK,during the review period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0236,policy_dataset,Certified accountants monitor a lab procedure between 8am and 5pm via the patient portal.,between 8am and 5pm,via the patient portal,LLM_MOCK,LLM_MOCK,between 8am and 5pm,via the patient portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0237,policy_dataset,Certified admissions officers approve a current immunization record at nighttime via a secure VPN.,at nighttime,via a secure VPN,LLM_MOCK,LLM_MOCK,at nighttime,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0238,policy_dataset,Certified assigned contractors access a confidential updated patient record during visiting hours within the intranet.,during visiting hours,within the intranet,LLM_MOCK,LLM_MOCK,during visiting hours,within the intranet,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0239,policy_dataset,Certified assigned health care providers retrieve verified medical data during visiting hours.,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0240,policy_dataset,Certified assigned teaching assistants read sprint tasks on weekends in the finance department.,on weekends,,LLM_MOCK,LLM_MOCK,on weekends,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0241,policy_dataset,Certified auditors approve a current course schedule during audits via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0242,policy_dataset,Certified chief accountants download an active reviewed application during business hours.,during business hours,,LLM_MOCK,LLM_MOCK,during business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0243,policy_dataset,Certified contractors generate budgets during their shifts in the faculty office.,during their shifts,,LLM_MOCK,LLM_MOCK,during their shifts,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0244,policy_dataset,Certified contractors process verified system logs during the day via the patient portal.,during the day,via the patient portal,LLM_MOCK,LLM_MOCK,during the day,via the patient portal,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0245,policy_dataset,Certified designated health care providers generate updated course schedules during the sprint.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0246,policy_dataset,Certified full-time registrar officers process updated semester gradebooks during audits in the registrar office.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0247,policy_dataset,Certified health care providers add notes to sprint tasks during visiting hours at home.,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0248,policy_dataset,Certified health care providers read active diagnoses during exam period.,during exam period,,LLM_MOCK,LLM_MOCK,during exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0249,policy_dataset,Certified independent auditors manage diagnostic medical data during exam period at home.,during exam period,,LLM_MOCK,LLM_MOCK,during exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0250,policy_dataset,Certified instructors access active renewed prescriptions during rounds in the project office.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0251,policy_dataset,Certified lab teaching assistants check authorized renewed prescriptions during working hours via a secure VPN.,during working hours,via a secure VPN,LLM_MOCK,LLM_MOCK,during working hours,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0252,policy_dataset,Certified lab teaching assistants process budgets during visiting hours.,during visiting hours,,LLM_MOCK,LLM_MOCK,during visiting hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0253,policy_dataset,Certified licensed contractors create updated gradebooks at nighttime.,at nighttime,,LLM_MOCK,LLM_MOCK,at nighttime,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0254,policy_dataset,Certified licensed emergency responders audit approved office visit records during surgery hours.,during surgery hours,,LLM_MOCK,LLM_MOCK,during surgery hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0255,policy_dataset,Certified managers generate applications during audits in the emergency ward.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0256,policy_dataset,Certified managers upload current clinical medical data at nighttime in the registrar office.,at nighttime,,LLM_MOCK,LLM_MOCK,at nighttime,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0257,policy_dataset,Certified nurses add notes to diagnoses during exam period.,during exam period,,LLM_MOCK,LLM_MOCK,during exam period,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0258,policy_dataset,Certified oncology nurses modify updated current immunization records during office hours.,during office hours,,LLM_MOCK,LLM_MOCK,during office hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0259,policy_dataset,Certified project managers submit current full transaction logs during working hours from the office network.,during working hours,from the office network,LLM_MOCK,LLM_MOCK,during working hours,from the office network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0260,policy_dataset,Certified public health agents download updated tasks during audits in the faculty office.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0261,policy_dataset,Certified registrar officers manage lab procedures at nighttime in the ICU.,at nighttime,ICU,LLM_MOCK,LLM_MOCK,at nighttime,ICU,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0262,policy_dataset,Certified registrar officers upload official patient records after business hours remotely.,after business hours remotely,,LLM_MOCK,LLM_MOCK,after business hours remotely,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0263,policy_dataset,Certified senior accountants manage health records during office hours via trusted platforms.,during office hours,via trusted platforms,LLM_MOCK,LLM_MOCK,during office hours,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0264,policy_dataset,Certified senior administrators create approved prescriptions after business hours in the clinic.,after business hours,,LLM_MOCK,LLM_MOCK,after business hours,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
